elapsed_time,power,smooth_power
0 days 00:08:01,521.0,366.8
0 days 00:08:02,499.0,373.46666666666664
0 days 00:08:03,442.0,377.0
0 days 00:08:04,465.0,379.2
0 days 00:08:05,462.0,377.8666666666667
0 days 00:08:06,408.0,371.56666666666666
0 days 00:08:07,448.0,358.1333333333333
0 days 00:08:08,437.0,343.9
0 days 00:08:09,491.0,330.06666666666666
0 days 00:08:10,401.0,322.1666666666667
0 days 00:08:11,290.0,313.06666666666666
0 days 00:08:12,346.0,309.76666666666665
0 days 00:08:13,357.0,309.6333333333333
0 days 00:08:14,285.0,300.5
0 days 00:08:15,340.0,284.23333333333335
0 days 00:08:16,338.0,268.76666666666665
0 days 00:08:17,213.0,251.4
0 days 00:08:18,137.0,234.76666666666668
0 days 00:08:19,173.0,220.03333333333333
0 days 00:08:20,136.0,204.53333333333333
0 days 00:08:21,70.0,189.13333333333333
0 days 00:08:22,25.0,175.53333333333333
0 days 00:08:23,86.0,160.6
0 days 00:08:24,126.0,146.03333333333333
0 days 00:08:25,6.0,133.9
0 days 00:08:26,176.0,126.1
0 days 00:08:27,232.0,121.13333333333334
0 days 00:08:28,153.0,111.66666666666667
0 days 00:08:29,0.0,100.73333333333333
0 days 00:08:30,0.0,91.7
0 days 00:08:31,0.0,80.73333333333333
0 days 00:08:32,0.0,69.9
0 days 00:08:33,0.0,63.233333333333334
0 days 00:08:34,0.0,63.43333333333333
0 days 00:08:35,0.0,62.43333333333333
0 days 00:08:36,0.0,62.666666666666664
0 days 00:08:37,0.0,60.93333333333333
0 days 00:08:38,0.0,60.7
0 days 00:08:39,127.0,58.03333333333333
0 days 00:08:40,167.0,53.833333333333336
0 days 00:08:41,141.0,53.63333333333333
0 days 00:08:42,62.0,47.766666666666666
0 days 00:08:43,29.0,40.03333333333333
0 days 00:08:44,14.0,34.93333333333333
0 days 00:08:45,11.0,34.93333333333333
0 days 00:08:46,13.0,34.93333333333333
0 days 00:08:47,13.0,34.93333333333333
0 days 00:08:48,143.0,39.666666666666664
0 days 00:08:49,143.0,54.766666666666666
0 days 00:08:50,143.0,70.0
0 days 00:08:51,18.0,90.3
0 days 00:08:52,18.0,110.9
0 days 00:08:53,6.0,131.5
0 days 00:08:54,0.0,143.76666666666668
0 days 00:08:55,0.0,151.8
0 days 00:08:56,0.0,157.23333333333332
0 days 00:08:57,0.0,164.16666666666666
0 days 00:08:58,0.0,176.6
0 days 00:08:59,0.0,187.56666666666666
0 days 00:09:00,0.0,197.86666666666667
0 days 00:09:01,0.0,209.26666666666668
0 days 00:09:02,142.0,219.86666666666667
0 days 00:09:03,453.0,230.06666666666666
0 days 00:09:04,457.0,237.3
0 days 00:09:05,609.0,245.06666666666666
0 days 00:09:06,618.0,257.46666666666664
0 days 00:09:07,618.0,272.2
0 days 00:09:08,368.0,287.26666666666665
0 days 00:09:09,368.0,301.73333333333335
0 days 00:09:10,330.0,313.96666666666664
0 days 00:09:11,349.0,324.93333333333334
0 days 00:09:12,435.0,334.73333333333335
0 days 00:09:13,358.0,344.26666666666665
0 days 00:09:14,323.0,355.26666666666665
0 days 00:09:15,353.0,368.7
0 days 00:09:16,331.0,378.8
0 days 00:09:17,319.0,383.73333333333335
0 days 00:09:18,360.0,379.3333333333333
0 days 00:09:19,376.0,364.56666666666666
0 days 00:09:20,515.0,349.6666666666667
0 days 00:09:21,460.0,332.3666666666667
0 days 00:09:22,470.0,314.8
0 days 00:09:23,440.0,303.8666666666667
0 days 00:09:24,367.0,298.9
0 days 00:09:25,329.0,296.53333333333336
0 days 00:09:26,294.0,291.56666666666666
0 days 00:09:27,286.0,287.93333333333334
0 days 00:09:28,330.0,286.1
0 days 00:09:29,403.0,285.2
0 days 00:09:30,303.0,281.23333333333335
0 days 00:09:31,148.0,271.73333333333335
0 days 00:09:32,10.0,265.03333333333336
0 days 00:09:33,10.0,260.0
0 days 00:09:34,10.0,257.6666666666667
0 days 00:09:35,90.0,261.2
0 days 00:09:36,91.0,257.43333333333334
0 days 00:09:37,290.0,252.63333333333333
0 days 00:09:38,219.0,246.23333333333332
0 days 00:09:39,297.0,243.63333333333333
0 days 00:09:40,181.0,244.0
0 days 00:09:41,240.0,247.0
0 days 00:09:42,380.0,248.7
0 days 00:09:43,331.0,246.36666666666667
0 days 00:09:44,204.0,241.0
0 days 00:09:45,68.0,236.3
0 days 00:09:46,130.0,237.9
0 days 00:09:47,168.0,242.36666666666667
0 days 00:09:48,290.0,251.5
0 days 00:09:49,482.0,259.3666666666667
0 days 00:09:50,402.0,267.76666666666665
0 days 00:09:51,316.0,271.0
0 days 00:09:52,278.0,277.3
0 days 00:09:53,362.0,275.6333333333333
0 days 00:09:54,378.0,276.23333333333335
0 days 00:09:55,419.0,279.96666666666664
0 days 00:09:56,345.0,282.6
0 days 00:09:57,216.0,280.1333333333333
0 days 00:09:58,169.0,273.56666666666666
0 days 00:09:59,262.0,269.8
0 days 00:10:00,351.0,269.2
0 days 00:10:01,282.0,272.8
0 days 00:10:02,284.0,273.6
0 days 00:10:03,246.0,275.76666666666665
0 days 00:10:04,262.0,271.7
0 days 00:10:05,187.0,262.6333333333333
0 days 00:10:06,280.0,255.46666666666667
0 days 00:10:07,240.0,247.66666666666666
0 days 00:10:08,237.0,239.66666666666666
0 days 00:10:09,409.0,228.86666666666667
0 days 00:10:10,260.0,217.2
0 days 00:10:11,166.0,205.4
0 days 00:10:12,183.0,196.06666666666666
0 days 00:10:13,218.0,191.06666666666666
0 days 00:10:14,186.0,193.93333333333334
0 days 00:10:15,176.0,193.06666666666666
0 days 00:10:16,154.0,187.66666666666666
0 days 00:10:17,233.0,180.53333333333333
0 days 00:10:18,168.0,171.56666666666666
0 days 00:10:19,210.0,164.06666666666666
0 days 00:10:20,187.0,155.56666666666666
0 days 00:10:21,82.0,158.63333333333333
0 days 00:10:22,38.0,161.0
0 days 00:10:23,38.0,161.66666666666666
0 days 00:10:24,28.0,158.16666666666666
0 days 00:10:25,65.0,145.5
0 days 00:10:26,65.0,137.8
